node,label,sponsor,node_type,size,color,shape,sponsored,cosponsored,source
101,"Greene, Marjorie Taylor [Rep.-R-GA-14]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 25,10.0
102,"Grijalva, Raúl M. [Rep.-D-AZ-7]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
103,"Grothman, Glenn [Rep.-R-WI-6]",NA,cosponsor,60.0,#B22222,o,NA,H.J.Res. 12,1.0
104,"Guthrie, Brett [Rep.-R-KY-2]",NA,cosponsor,60.0,#B22222,o,NA,H.J.Res. 12,1.0
105,"Hagerty, Bill [Sen.-R-TN]",NA,cosponsor,60.0,#B22222,o,NA,S.J.Res. 13,22.0
106,"Hern, Kevin [Rep.-R-OK-1]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 5988,13.0
107,"Higgins, Clay [Rep.-R-LA-3]",NA,cosponsor,60.0,#B22222,o,NA,H.J.Res. 12,1.0
108,"Hill, J. French [Rep.-R-AR-2]",NA,cosponsor,60.0,#B22222,o,NA,H.J.Res. 12,1.0
109,"Hoeven, John [Sen.-R-ND]",NA,cosponsor,60.0,#B22222,o,NA,S.J.Res. 13,22.0
110,"Houchin, Erin [Rep.-R-IN-9]",NA,cosponsor,60.0,#B22222,o,NA,H.J.Res. 12,1.0
111,"Hoyle, Val T. [Rep.-D-OR-4]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
112,"Jackson Lee, Sheila [Rep.-D-TX-18]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
113,"Jayapal, Pramila [Rep.-D-WA-7]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
114,"Kelly, Mike [Rep.-R-PA-16]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 5988,13.0
115,"Khanna, Ro [Rep.-D-CA-17]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
116,"Kildee, Daniel T. [Rep.-D-MI-8]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 5988,13.0
117,"Krishnamoorthi, Raja [Rep.-D-IL-8]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 5988,13.0
118,"Kustoff, David [Rep.-R-TN-8]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 5988,13.0
119,"LaHood, Darin [Rep.-R-IL-16]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 5988,13.0
120,"Larsen, Rick [Rep.-D-WA-2]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
121,"Latta, Robert E. [Rep.-R-OH-5]",NA,cosponsor,60.0,#B22222,o,NA,H.J.Res. 12,1.0
122,"Lee, Barbara [Rep.-D-CA-12]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
123,"Loudermilk, Barry [Rep.-R-GA-11]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 25,10.0
124,"Lynch, Stephen F. [Rep.-D-MA-8]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
125,"Malliotakis, Nicole [Rep.-R-NY-11]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 5988,13.0
126,"Mann, Tracey [Rep.-R-KS-1]",NA,cosponsor,60.0,#B22222,o,NA,H.J.Res. 12,1.0
127,"Markey, Edward J. [Sen.-D-MA]",NA,cosponsor,60.0,#0047AB,o,NA,S. 393,19.0
128,"Marshall, Roger [Sen.-R-KS]",NA,cosponsor,60.0,#B22222,o,NA,S.J.Res. 13,22.0
129,"Massie, Thomas [Rep.-R-KY-4]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 25,10.0
130,"McGovern, James P. [Rep.-D-MA-2]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
131,"Merkley, Jeff [Sen.-D-OR]",NA,cosponsor,60.0,#0047AB,o,NA,S. 393,19.0
132,"Moore, Barry [Rep.-R-AL-2]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 25,10.0
133,"Moore, Blake D. [Rep.-R-UT-1]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 5988,13.0
134,"Moore, Gwen [Rep.-D-WI-4]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
135,"Moulton, Seth [Rep.-D-MA-6]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 5988,13.0
136,"Mullin, Markwayne [Sen.-R-OK]",NA,cosponsor,60.0,#B22222,o,NA,S.J.Res. 13,22.0
137,"Murphy, Gregory F. [Rep.-R-NC-3]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 5988,13.0
138,"Nadler, Jerrold [Rep.-D-NY-12]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
